,0
BuyerAgentAOR,49091
ListAgentAOR,46186
Flooring,142590
ViewYN,33869
WaterfrontYN,397355
BasementYN,389826
PoolPrivateYN,34435
OriginalListPrice,721
ListingKey,0
ListAgentEmail,29012
CloseDate,0
ClosePrice,2
ListAgentFirstName,2999
ListAgentLastName,40
Latitude,15822
Longitude,15822
UnparsedAddress,362
PropertyType,0
LivingArea,229
ListPrice,0
DaysOnMarket,0
ListOfficeName,0
BuyerOfficeName,6538
CoListOfficeName,303521
ListAgentFullName,85
CoListAgentFirstName,306611
CoListAgentLastName,306376
BuyerAgentMlsId,503
BuyerAgentFirstName,1952
BuyerAgentLastName,167
FireplacesTotal,397603
AssociationFeeFrequency,232049
AboveGradeFinishedArea,397603
ListingKeyNumeric,0
MLSAreaMajor,53122
TaxAnnualAmount,397603
CountyOrParish,0
MlsStatus,0
ElementarySchool,344627
AttachedGarageYN,60679
ParkingTotal,426
BuilderName,378056
PropertySubType,776
LotSizeAcres,31364
SubdivisionName,249875
BuyerOfficeAOR,21446
YearBuilt,356
StreetNumberNumeric,445
ListingId,0
BathroomsTotalInteger,69
City,310
TaxYear,397603
BuildingAreaTotal,369810
BedroomsTotal,11
ContractStatusChangeDate,589
ElementarySchoolDistrict,397603
CoBuyerAgentFirstName,361576
PurchaseContractDate,194
ListingContractDate,1
BelowGradeFinishedArea,395313
BusinessType,397603
StateOrProvince,0
CoveredSpaces,397603
MiddleOrJuniorSchool,344273
FireplaceYN,316
Stories,61503
HighSchool,328353
Levels,38569
LotSizeDimensions,378282
LotSizeArea,30863
MainLevelBedrooms,166841
NewConstructionYN,29453
GarageSpaces,17053
HighSchoolDistrict,108857
PostalCode,2
AssociationFee,90998
LotSizeSquareFeet,30987
MiddleOrJuniorSchoolDistrict,397603
OriginatingSystemName,358351
OriginatingSystemSubName,358351
BuyerAgencyCompensationType,351467
BuyerAgencyCompensation,351478
latfilled,333719
lonfilled,333719
